DQN 训练过程记录

episode | return | success | avg_return(window) | avg_success(window)
001 | -0.5500 | 0 | -0.5500 | 0.0000
002 | -1.0400 | 0 | -0.7950 | 0.0000
003 | +0.9000 | 1 | -0.2300 | 0.3333
004 | -0.5500 | 0 | -0.3100 | 0.2500
005 | -0.5500 | 0 | -0.3580 | 0.2000
006 | +0.7000 | 1 | -0.1817 | 0.3333
007 | +0.8200 | 1 | -0.0386 | 0.4286
008 | +0.7800 | 1 | +0.0637 | 0.5000
009 | +0.9400 | 1 | +0.1611 | 0.5556
010 | -0.5500 | 0 | +0.0900 | 0.5000
011 | -0.5500 | 0 | +0.0318 | 0.4545
012 | +0.7200 | 1 | +0.0892 | 0.5000
013 | -0.5500 | 0 | +0.0400 | 0.4615
014 | +0.9400 | 1 | +0.1043 | 0.5000
015 | +0.9800 | 1 | +0.1627 | 0.5333
016 | +0.9400 | 1 | +0.2112 | 0.5625
017 | +0.8000 | 1 | +0.2459 | 0.5882
018 | +0.9800 | 1 | +0.2867 | 0.6111
019 | -1.2200 | 0 | +0.2074 | 0.5789
020 | -1.2600 | 0 | +0.1340 | 0.5500
021 | +0.9200 | 1 | +0.2075 | 0.6000
022 | -1.0200 | 0 | +0.2085 | 0.6000
023 | -0.5500 | 0 | +0.1360 | 0.5500
024 | -0.5500 | 0 | +0.1360 | 0.5500
025 | -0.5500 | 0 | +0.1360 | 0.5500
026 | -0.5500 | 0 | +0.0735 | 0.5000
027 | +0.7000 | 1 | +0.0675 | 0.5000
028 | -0.5500 | 0 | +0.0010 | 0.4500
029 | -0.5500 | 0 | -0.0735 | 0.4000
030 | -0.5500 | 0 | -0.0735 | 0.4000
031 | -0.5500 | 0 | -0.0735 | 0.4000
032 | -0.5500 | 0 | -0.1370 | 0.3500
033 | -1.2600 | 0 | -0.1725 | 0.3500
034 | +0.7000 | 1 | -0.1845 | 0.3500
035 | +0.9200 | 1 | -0.1875 | 0.3500
036 | +0.8800 | 1 | -0.1905 | 0.3500
037 | +0.9000 | 1 | -0.1855 | 0.3500
038 | +0.8200 | 1 | -0.1935 | 0.3500
039 | -0.5500 | 0 | -0.1600 | 0.3500
040 | -1.1000 | 0 | -0.1520 | 0.3500
041 | -0.5500 | 0 | -0.2255 | 0.3000
042 | +0.9600 | 1 | -0.1265 | 0.3500
043 | -1.3000 | 0 | -0.1640 | 0.3500
044 | +0.9000 | 1 | -0.0915 | 0.4000
045 | +0.7200 | 1 | -0.0280 | 0.4500
046 | +0.9000 | 1 | +0.0445 | 0.5000
047 | -1.0600 | 0 | -0.0435 | 0.4500
048 | +0.9200 | 1 | +0.0300 | 0.5000
049 | +0.7800 | 1 | +0.0965 | 0.5500
050 | +0.7200 | 1 | +0.1600 | 0.6000
051 | -0.5500 | 0 | +0.1600 | 0.6000
052 | -1.2200 | 0 | +0.1265 | 0.6000
