策略梯度确定性 rollout 轨迹

步数=00 | 位置=-0.900 | 速度=+0.046 | 动作=+1.000 | 奖励=+0.068 | 下一位置=-0.856
步数=01 | 位置=-0.856 | 速度=+0.400 | 动作=+1.000 | 奖励=+0.135 | 下一位置=-0.778
步数=02 | 位置=-0.778 | 速度=+0.704 | 动作=+1.000 | 奖励=+0.192 | 下一位置=-0.672
步数=03 | 位置=-0.672 | 速度=+0.965 | 动作=+1.000 | 奖励=+0.242 | 下一位置=-0.541
步数=04 | 位置=-0.541 | 速度=+1.190 | 动作=+1.000 | 奖励=+0.244 | 下一位置=-0.409
步数=05 | 位置=-0.409 | 速度=+1.200 | 动作=+1.000 | 奖励=+0.244 | 下一位置=-0.277
步数=06 | 位置=-0.277 | 速度=+1.200 | 动作=+1.000 | 奖励=+0.244 | 下一位置=-0.145
步数=07 | 位置=-0.145 | 速度=+1.200 | 动作=+1.000 | 奖励=+0.244 | 下一位置=-0.013
步数=08 | 位置=-0.013 | 速度=+1.200 | 动作=+0.999 | 奖励=+0.244 | 下一位置=+0.119
步数=09 | 位置=+0.119 | 速度=+1.200 | 动作=+0.998 | 奖励=+0.244 | 下一位置=+0.251
步数=10 | 位置=+0.251 | 速度=+1.200 | 动作=+0.994 | 奖励=+0.244 | 下一位置=+0.383
步数=11 | 位置=+0.383 | 速度=+1.200 | 动作=+0.975 | 奖励=+0.245 | 下一位置=+0.515
步数=12 | 位置=+0.515 | 速度=+1.200 | 动作=+0.880 | 奖励=+0.249 | 下一位置=+0.647
步数=13 | 位置=+0.647 | 速度=+1.200 | 动作=+0.458 | 奖励=+0.259 | 下一位置=+0.779
步数=14 | 位置=+0.779 | 速度=+1.197 | 动作=-0.385 | 奖励=+0.087 | 下一位置=+0.877
步数=15 | 位置=+0.877 | 速度=+0.891 | 动作=-0.681 | 奖励=-0.124 | 下一位置=+0.934
步数=16 | 位置=+0.934 | 速度=+0.521 | 动作=-0.716 | 奖励=-0.052 | 下一位置=+0.955
步数=17 | 位置=+0.955 | 速度=+0.190 | 动作=-0.599 | 奖励=+0.004 | 下一位置=+0.949
步数=18 | 位置=+0.949 | 速度=-0.052 | 动作=-0.335 | 奖励=+0.034 | 下一位置=+0.931
步数=19 | 位置=+0.931 | 速度=-0.166 | 动作=-0.063 | 奖励=+0.036 | 下一位置=+0.913
步数=20 | 位置=+0.913 | 速度=-0.165 | 动作=+0.074 | 奖励=+0.025 | 下一位置=+0.900
步数=21 | 位置=+0.900 | 速度=-0.116 | 动作=+0.106 | 奖励=+2.013 | 下一位置=+0.893

是否成功=True | 总回报=+5.122
