策略梯度训练过程记录

episode | return | success | avg_return(window) | avg_success(window)
001 | -0.1594 | 0 | -0.1594 | 0.0000
002 | +1.9446 | 0 | +0.8926 | 0.0000
003 | +0.2939 | 0 | +0.6931 | 0.0000
004 | +0.0600 | 0 | +0.5348 | 0.0000
005 | +2.2834 | 0 | +0.8845 | 0.0000
006 | +1.5148 | 0 | +0.9896 | 0.0000
007 | +1.9210 | 0 | +1.1226 | 0.0000
008 | +0.5167 | 0 | +1.0469 | 0.0000
009 | +1.3694 | 0 | +1.0827 | 0.0000
010 | +0.3404 | 0 | +1.0085 | 0.0000
011 | +0.1354 | 0 | +0.9291 | 0.0000
012 | +1.0621 | 0 | +0.9402 | 0.0000
013 | +0.2534 | 0 | +0.8874 | 0.0000
014 | +1.5874 | 0 | +0.9374 | 0.0000
015 | +0.2617 | 0 | +0.8923 | 0.0000
016 | +1.5108 | 0 | +0.9310 | 0.0000
017 | +2.0455 | 0 | +0.9965 | 0.0000
018 | +2.2362 | 0 | +1.0654 | 0.0000
019 | +1.1364 | 0 | +1.0691 | 0.0000
020 | +1.2785 | 0 | +1.0796 | 0.0000
021 | +1.4970 | 0 | +1.1624 | 0.0000
022 | +2.2101 | 0 | +1.1757 | 0.0000
023 | +2.4057 | 0 | +1.2813 | 0.0000
024 | +2.4451 | 0 | +1.4005 | 0.0000
025 | +1.6873 | 0 | +1.3707 | 0.0000
026 | +1.4637 | 0 | +1.3682 | 0.0000
027 | +2.1810 | 0 | +1.3812 | 0.0000
028 | +0.9408 | 0 | +1.4024 | 0.0000
029 | +2.3832 | 0 | +1.4531 | 0.0000
030 | +1.5471 | 0 | +1.5134 | 0.0000
031 | +0.1644 | 0 | +1.5149 | 0.0000
032 | +1.5116 | 0 | +1.5373 | 0.0000
033 | -0.0520 | 0 | +1.5221 | 0.0000
034 | +1.2697 | 0 | +1.5062 | 0.0000
035 | +1.8685 | 0 | +1.5865 | 0.0000
036 | +1.9389 | 0 | +1.6079 | 0.0000
037 | +1.0782 | 0 | +1.5596 | 0.0000
038 | +0.4613 | 0 | +1.4708 | 0.0000
039 | +0.8890 | 0 | +1.4584 | 0.0000
